Qty,Designator,MPN,Purchase Link,
1,J1,SJ1-3525NG-GR,https://www.digikey.com/en/products/detail/cui-devices/SJ1-3525NG-GR/2295990?s=N4IgTCBcDaIMoCkCMBaAzAVjBgcgcRTwCUQBdAXyA,
1,C13,CL10B104KB8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNC/3886658?s=N4IgTCBcDaIMIBkCMAGAQqgLAaTQDgDki4QBdAXyA,
4,"C1, C2, C4, C6",CL10A106MP8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MP8NNNC/3887529?s=N4IgTCBcDaIMIBkCMAGAgqgbAWQAoA4A5YuEAXQF8g,
4,"C3, C8, C9, C14",CL10A105KP8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KP8NNNC/3886840?s=N4IgTCBcDaIMIBkCMAGAgqgrAaQAoA4A5YuEAXQF8g,
1,C7,CL10C221JB8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C221JB8NNNC/3886706?s=N4IgTCBcDaIMIBkCMAGOYxIFICEAcAckXCALoC%2BQA,
1,J5,5031821852,https://www.digikey.com/en/products/detail/molex/5031821852/4693482?s=N4IgTCBcDaIKwAYDMBGAHGdcIF0C%2BQA,
1,J6,USB4110-GF-A,https://www.digikey.com/en/products/detail/gct/USB4110-GF-A/10384547?s=N4IgTCBcDaIKoGUBCAWAjGgDAWgOIDFsBBEAXQF8g,
1,U4,MCP73832T-2ACI/OT,https://www.digikey.com/en/products/detail/microchip-technology/MCP73832T-2ACI-OT/1223142?s=N4IgTCBcDaILIGEAKB2AzADjWAKgWjAEEEBJAegHkcQBdAXyA,
2,"S1, S2",KMR221GLFS,https://www.digikey.com/en/products/detail/c-k/KMR221GLFS/550472?s=N4IgTCBcDaINIFkBKYwEYDiAZAYgZRAF0BfIA,
1,Q3,DMG3415U-7,https://www.digikey.com/en/products/detail/diodes-incorporated/DMG3415U-7/2052768?s=N4IgTCBcDaICIFkDiBmALARgKwFUC0A7CALoC%2BQA,
2,"R1, R5",ERJ-PA3J102V,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-PA3J102V/5035970?s=N4IgTCBcDaIKICUBSBaACgQQMxIIwAYwA1EAXQF8g,
5,"R2, R3, R19, R20, R21",ERJ-PA3J104V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J104V/5035972?s=N4IgTCBcDaIKICUBSBaACgQQMxIIwAYAWANRAF0BfIA,
8,"R6, R9, R10, R11, R12, R13, R14, R15",ERJ-PA3J103V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J103V/5035971?s=N4IgTCBcDaIKICUBSBaACgQQMxIIwAYsA1EAXQF8g,
,R7,ERJ-3GEY0R00V,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-3GEY0R00V/135656,
1,R18,ERJ-PA3J151V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J151V/5035990?s=N4IgTCBcDaIKICUBSBaACgQQMxIIwFZcA1EAXQF8g,
1,R4,ERJ-PA3J471V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3J471V/5036065?s=N4IgTCBcDaIKICUBSBaACgQQMxICwHYBGANRAF0BfIA,
2,"R22, R24",ERJ-PA3F5101V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA3F5101V/5035934?s=N4IgTCBcDaIKICUBSBaACgQQMwDECsAjAAwEBqIAugL5A,
1,U3,XC6210B332MR-G,https://www.digikey.com/en/products/detail/torex-semiconductor-ltd/XC6210B332MR-G/2138119?s=N4IgTCBcDaIBoGEBsYCMAGAQgZm2AsgEoC0A4iALoC%2BQA,
1,S3,MA12RTR,https://www.digikey.com/en/products/detail/apem-inc/MA12RTR/1795601?s=N4IgTCBcDaILIEECMYBKAVVIC6BfIA,
1,LED2,SSL-LX3059IGW,https://www.digikey.com/en/products/detail/lumex-opto-components-inc/SSL-LX3059IGW/242268,
1,C10,F930J107KAA,https://www.digikey.com/en/products/detail/kyocera-avx/F930J107KAA/4005275,
2,"Q4, Q5",MMBT2222A-7-F,https://www.digikey.com/en/products/detail/diodes-incorporated/MMBT2222A-7-F/814503,
1,U1,ESP32-WROVER (16MB),https://www.digikey.com/en/products/filter/rf-transceiver-modules-and-modems/872?s=N4IgTCBcDaIKIGUAKBmMBaA6gJQPIDU5sACACgEYA2AWQCEBKEAXQF8g,
1,U$11,0541044531,https://www.digikey.ca/en/products/detail/molex/0541044531/3197022,
1,U6,LM4875MX/NOPB,https://www.digikey.com/en/products/detail/texas-instruments/LM4875MX-NOPB/1871686?s=N4IgTCBcDaIDIFkAsAOA7AVgQDQPQDkB5ABQCEQBdAXyA,
1,D4,MBR120LSFT1G,https://www.digikey.com/en/products/detail/onsemi/MBR120LSFT1G/1748986?s=N4IgTCBcDaILICEBKBGMAGAMgZQGIBUUBxEAXQF8g,
2,"X2, X3",532614002,https://www.digikey.ca/en/products/detail/molex/0532614002/15622958,
1,N/A - This is the LCD itself,ET026LQTM008,https://www.alibaba.com/product-detail/Support-Small-Quantity-2-6-inch_1600609986142.htmlgit,
