"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"IGNORE_BOM";"MF";"MP";"MPN";"NO_BOM";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SF_ID";"SF_SKU";"SKU";"TP_SIGNAL_NAME";
"1";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"CAP_CERAMIC";"0603-MINI-CAP";"C13";"Ceramic Capacitors";"";"";"";"";"";"";"CL10B104KB8NNNC";"";"";"";"";"";"";"";"";
"2";"1.5K";"RESISTOR0603MINI";"0603-MINI";"R1, R5";"Resistors";"";"";"";"";"";"";"ERJ-PA3J152V";"";"";"";"";"";"";"";"";
"5";"100K";"RESISTOR0603MINI";"0603-MINI";"R2, R3, R19, R20, R21";"Resistors";"";"";"";"";"";"";"ERJ-PA3J104V";"";"";"";"";"";"";"";"";
"1";"100uF";"CAP_TANTALUMA/3216_WAVE";"EIA3216-18/A-W";"C10";"Tantalum Capacitors";"";"";"";"";"";"";"F930J107KAA";"";"";"";"";"";"";"";"";
"8";"10K";"RESISTOR0603MINI";"0603-MINI";"R6, R9, R10, R11, R12, R13, R14, R15";"Resistors";"";"";"";"";"";"";"ERJ-PA3J103V";"";"";"";"";"";"";"";"";
"4";"10uF";"CAP_CERAMIC";"0603-MINI-CAP";"C1, C2, C4, C6";"Ceramic Capacitors";"";"";"";"";"";"";"CL10A106MP8NNNC";"";"";"";"";"";"";"";"";
"1";"150 Ohm";"RESISTOR0603MINI";"0603-MINI";"R18";"Resistors";"";"";"";"";"";"";"ERJ-PA3J151V";"";"";"";"";"";"";"";"";
"4";"1uF";"CAP_CERAMIC";"0603-MINI-CAP";"C3, C8, C9, C14";"Ceramic Capacitors";"";"";"";"";"";"";"CL10A105KP8NNNC";"";"";"";"";"";"";"";"";
"1";"220pF";"CAP_CERAMIC";"0603-MINI-CAP";"C7";"Ceramic Capacitors";"";"";"";"";"";"";"CL10C221JB8NNNC";"";"";"";"";"";"";"";"";
"2";"27k";"THUMBWHEEL";"THUMBWHEEL";"R16, R17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470";"RESISTOR0603MINI";"0603-MINI";"R4";"Resistors";"";"";"";"";"";"";"ERJ-PA3J471V";"";"";"";"";"";"";"";"";
"2";"5.1K";"RESISTOR0603MINI";"0603-MINI";"R22, R24";"Resistors";"";"";"";"";"";"";"ERJ-PA3F5101V";"";"";"";"";"";"";"";"";
