Quantity,Device,Package,Reference Designator,Manufacturer Part Number
1,MOSFET-P,SOT23-R,Q3,NTR3A30PZT1G
1,ESP32-WROVER_ESP32-WROVER,ESP32-WROVER,U1,ESP32-WROVER-E (16MB)
1,KD026LQTMA008,KD026LQTMA008,U$11,FH34SRJ-45S-0.5SH(50)
1,LED_L-115WEGW-CA,LED_DUOLED-A-3MM,LED2,SSL-LX3059IGW
1,LM4875,SOIC8,U6,LM4875MX/NOPB
1,DIODE-SCHOTTKYSOD-123,SOD-123,D4,SM5817PL-TP
1,MCP73831/2,SOT23-5-1,U4,MCP73832T-2ACI/OT
2,SWITCHES_MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,SWITCHES_TACTILE_SWITCH_SMD_4.6X2.8MM,"S1, S2",KMR221GLFS
1,USB4110-GF-A,GCT_USB4110-GF-A,J6,USB4110-GF-A
1,AP2112-3.3,SOT23-5,U3,XC6210B332MR-G
2,TRANSISTOR_NPNSOT23-3,SOT23-3,"Q4, Q5",MMBT2222A-7-F
